City,Country,Lat,Long,Temp,Humidity,Clouds,Winds
Ginda,IN,30.6945,78.4932,48.36,69,2,6.78
Luanda,AO,-8.8368,13.2343,77.0,78,40,11.5
Nishihara,JP,26.1842,127.7558,72.68,74,40,3.44
Arrondissement de Vierzon,FR,47.2101,2.0625,43.39,74,0,6.82
Binabalian Ricor,PH,16.4202,119.9279,80.83,80,100,11.18
Celestún,MX,20.8667,-90.4,82.2,72,95,10.54
Saraland,US,30.8207,-88.0706,84.56,52,91,2.71
Cheyenne,US,41.14,-104.8203,63.07,25,40,6.91
Kitimat,CA,54.0524,-128.6534,46.78,30,100,2.48
Vianópolis,BR,-16.7419,-48.5164,80.51,44,74,10.0
Okakarara,NA,-20.5833,17.4333,70.38,11,0,9.26
Ulsteinvik,NO,62.3432,5.8487,46.98,80,100,14.0
Bilma,NE,18.6853,12.9164,83.77,14,2,6.93
Mascote,BR,-15.5631,-39.3025,76.51,99,100,1.66
Ambon City,ID,-3.6954,128.1814,79.61,82,85,4.07
Tenamaxtlán,MX,20.2167,-104.1667,80.71,41,73,6.87
Lagunas,PE,-5.2269,-75.6753,89.17,55,100,3.42
Flin Flon,CA,54.7682,-101.865,39.04,81,75,13.8
Turki,RU,51.987,43.2731,43.14,83,10,7.81
Erzin,TR,36.9559,36.2,68.72,58,0,2.57
Rawson,AR,-43.3002,-65.1023,60.91,27,50,3.6
Arrondissement de Soissons,FR,49.3333,3.3333,48.4,73,0,4.79
Peniche,PT,39.3558,-9.3811,64.62,84,26,9.95
Ostrovnoy,RU,68.0531,39.5131,29.41,91,100,21.79
Dakar,SN,14.6937,-17.4441,83.28,78,0,4.61
Abu Samrah,SY,35.3029,37.1841,66.2,58,0,7.02
Rock Sound,BS,24.9,-76.2,80.47,75,98,10.11
Lisala,CD,2.15,21.5167,71.2,95,92,2.55
Cockburn Town,TC,21.4612,-71.1419,85.96,66,75,10.36
Lagos,NG,6.5833,3.75,77.32,94,100,2.24
Balkanabat,TM,39.5108,54.3671,58.23,22,1,3.51
Buchanan,LR,5.8808,-10.0467,77.4,90,100,4.63
Ziarat,PK,30.3823,67.7282,43.45,24,0,3.38
Bambanglipuro,ID,-7.95,110.2833,76.75,88,99,3.89
Aleksandrów Kujawski,PL,52.8766,18.6935,40.48,84,14,6.35
Río Gallegos,AR,-51.6226,-69.2181,46.45,39,40,44.87
Kholtoson,RU,50.2981,103.3097,33.6,54,100,2.55
Kutum,SD,14.2,24.6667,77.5,20,18,14.2
Gaillac,FR,43.9016,1.8969,51.91,55,0,4.03
Kallaste,EE,58.655,27.1592,35.83,81,97,16.55
Palmerston,AU,-12.486,130.9833,78.78,83,0,5.75
Viedma,AR,-40.8135,-62.9967,58.75,21,9,7.7
Sunrise Manor,US,36.2111,-115.0731,78.91,28,20,0.0
Yasnyy,RU,51.0333,59.8742,48.18,86,100,13.53
Troitskoye,RU,52.9821,84.6757,43.65,60,100,21.63
Kudahuvadhoo,MV,2.6708,72.8944,82.58,72,84,14.85
Conceição do Castelo,BR,-20.3683,-41.2439,66.63,92,1,3.89
Moree,AU,-29.4667,149.85,59.02,72,1,5.75
Whitehorse,CA,60.7161,-135.0538,43.57,56,75,10.0
Jalu,LY,29.0331,21.5482,73.02,34,4,11.03
Laela,TZ,-8.5667,32.05,74.53,32,78,2.39
Kruisfontein,ZA,-34.0033,24.7314,57.88,62,69,14.41
Severoural'sk,RU,60.1533,59.952,38.28,76,45,12.26
Praia da Vitória,PT,38.7333,-27.0667,68.76,83,75,11.27
Abu Kamal,SY,34.4506,40.9171,72.86,29,48,4.21
Pochutla,MX,15.7432,-96.4661,83.82,70,96,6.6
Tiarei,PF,-17.5333,-149.3333,82.42,87,100,13.42
Pangnirtung,CA,66.1451,-65.7125,25.39,93,98,4.12
Martinsicuro,IT,42.8811,13.9145,62.98,81,100,9.1
Kiruna,SE,67.8557,20.2251,9.52,85,20,11.5
Manaure,CO,11.7751,-72.4445,89.91,54,16,16.08
Egvekinot,RU,66.3167,-179.1667,10.24,79,100,6.82
‘Ewa Beach,US,21.3156,-158.0072,85.95,48,1,9.22
Sayula,MX,19.8667,-103.6167,76.46,61,100,2.44
Micheweni,TZ,-4.9667,39.8333,76.86,79,7,6.08
Polunochnoye,RU,60.8697,60.4153,37.92,83,95,11.48
Tessalit,ML,20.1986,1.0114,87.58,18,34,8.41
Nouakchott,MR,18.0858,-15.9785,79.88,57,0,18.03
Agara,GE,42.0376,43.8238,49.28,60,0,4.9
Homer,US,59.6425,-151.5483,44.04,89,90,0.0
Tyachiv,UA,48.0118,23.5706,46.81,67,83,3.76
Port Blair,IN,11.6667,92.75,78.67,83,96,3.65
Anori,BR,-3.7728,-61.6442,87.44,55,91,2.37
Sai Buri,TH,6.7013,101.6168,75.92,91,51,3.71
Kalmunai,LK,7.4167,81.8167,78.42,83,30,4.74
Găeşti,RO,44.7167,25.3167,57.81,65,100,6.35
Key West,US,24.5557,-81.7826,84.2,74,40,4.61
Rossland,CA,49.0831,-117.8022,47.62,77,98,3.0
Yatou,CN,37.15,122.3833,48.45,71,16,2.3
Neyshabur,IR,36.2133,58.7958,52.57,20,0,0.58
Saint-Pierre,RE,-21.3393,55.4781,73.56,84,0,4.61
Vozrozhdeniye,RU,44.5503,38.2136,49.24,90,100,4.32
Vostok,RU,46.4856,135.8833,28.13,89,7,5.68
Chekhov,RU,55.1431,37.4711,40.08,89,42,11.03
Washington,US,47.5001,-120.5015,53.94,60,96,4.97
Biak,ID,-0.9131,122.8766,75.6,79,99,2.82
Biharamulo,TZ,-2.6319,31.3089,65.98,70,97,3.24
Kabelvåg,NO,68.2114,14.4817,36.54,61,100,1.57
Sabaudia,IT,41.3003,13.0282,65.89,97,100,6.11
San Jose,US,37.3394,-121.895,70.79,55,40,3.44
Svetlaya,RU,46.5389,138.3297,41.31,71,1,6.98
Darhan,MN,49.4867,105.9228,35.6,52,100,4.23
San Juan,AR,-31.5375,-68.5364,76.35,15,0,6.44
Marsh Harbour,BS,26.5412,-77.0636,80.67,73,100,9.42
Äänekoski,FI,62.6946,25.818,26.67,97,36,3.58
Richards Bay,ZA,-28.783,32.0377,70.59,64,83,20.87
Buala,SB,-8.145,159.5921,82.33,69,33,4.79
Severodvinsk,RU,64.5635,39.8302,30.31,83,100,5.91
Champerico,GT,14.3,-91.9167,91.94,76,71,7.74
Nabire,ID,-3.3667,135.4833,74.95,92,82,3.06
Kulhudhuffushi,MV,6.6221,73.07,81.39,78,98,15.88
Zhangye,CN,38.9342,100.4517,44.02,50,86,2.57
Khingansk,RU,49.1167,131.1833,27.54,93,0,1.86
Hjelset,NO,62.7833,7.4833,43.12,81,75,9.22
Gubskaya,RU,44.3164,40.6358,48.96,61,72,4.54
Puerto del Rosario,ES,28.5004,-13.8627,71.35,56,75,17.27
Kathmandu,NP,27.7167,85.3167,64.62,94,75,2.3
Grajaú,BR,-5.8194,-46.1386,77.81,85,99,2.57
China,MX,25.7,-99.2333,89.24,44,0,9.08
Saint-Leu,RE,-21.15,55.2833,72.95,95,17,4.03
Ossora,RU,59.2353,163.0719,24.4,91,100,6.02
Vila Velha,BR,-20.3297,-40.2925,76.95,73,40,13.8
Ol'ga,RU,43.7444,135.2892,37.67,70,0,6.26
Koumac,NC,-20.5667,164.2833,74.98,74,2,7.72
Oistins,BB,13.0667,-59.5333,86.09,62,40,20.71
Korhogo,CI,9.45,-5.6333,77.09,79,91,4.12
Say,NE,13.1007,2.3689,91.96,53,88,11.03
Carberry,CA,49.8689,-99.3602,41.23,50,60,10.67
Letpadan,MM,17.7833,95.75,74.57,95,93,3.31
Arlit,NE,18.7369,7.3853,87.94,12,6,9.06
Itupiranga,BR,-5.1347,-49.3267,80.92,86,100,2.33
Makakilo City,US,21.3469,-158.0858,84.52,49,1,9.22
Wewak,PG,-3.5534,143.6268,79.52,84,100,8.79
Cabedelo,BR,-6.9811,-34.8339,83.07,76,43,11.88
Ust-Nera,RU,64.5667,143.2,-1.37,99,73,4.74
Whitefish,US,48.4111,-114.3376,52.05,52,75,13.8
