City,Lat,Long,Temp,Humidity,Clouds,Winds
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,80.74,30,15,5.97
Key Largo,25.0865,-80.4473,86.65,59,24,5.5
Dromolaxia,34.8761,33.586,67.82,65,20,1.14
Beisfjord,68.3751,17.5988,37.53,95,100,6.42
Florianópolis,-27.6146,-48.5012,60.66,81,75,1.01
La Asuncion,11.0333,-63.8628,86.14,70,100,12.06
Williamsport,41.2412,-77.0011,55.24,53,90,5.01
Mulegé,26.8833,-111.9833,86.85,35,100,6.13
Prince Rupert,54.3161,-130.3201,44.69,87,40,3.44
Quatre Cocos,-20.2078,57.7625,74.08,78,47,17.16
Ca Mau,9.1769,105.15,75.11,92,100,3.29
Boa Vista,2.8197,-60.6733,96.78,36,40,6.91
Bisira,8.5196,-81.7115,69.15,81,59,2.8
Kovdor,67.5662,30.4758,33.37,91,98,7.36
Rūdsar,37.1376,50.288,66.38,84,10,1.34
Birjand,32.8663,59.2211,54.45,9,0,4.5
Ust-Kuyga,70.0167,135.6,-11.45,100,84,4.47
Moose Factory,51.2585,-80.6094,44.58,76,90,12.66
Okmulgee,35.6234,-95.9605,75.24,29,1,9.22
Abu Kamal,34.4506,40.9171,75.15,34,0,7.92
Yabassi,4.457,9.9682,74.97,98,100,0.29
Manono,-7.3,27.4167,70.21,91,100,9.48
Gamboma,-1.8764,15.8644,74.68,88,80,1.03
Tihuatlan,20.7167,-97.5333,70.32,78,90,6.91
Baoro,5.6667,15.9667,70.09,95,100,1.81
Teahupoo,-17.8333,-149.2667,75.16,79,48,21.99
Sopela,43.3789,-2.9831,65.21,74,20,2.3
Kaniama,-7.5667,24.1833,67.98,86,100,1.21
Doha,25.2867,51.5333,83.43,79,0,2.3
Codrington,-38.2667,141.9667,43.54,92,61,5.91
Pohrebyshche,49.4864,29.2636,39.87,75,22,6.51
Dalvik,65.9702,-18.5286,33.19,93,100,6.4
Malaya Purga,56.5567,53.0043,44.51,62,100,10.42
Buala,-8.145,159.5921,79.45,78,58,4.09
Pitimbu,-7.4706,-34.8086,82.99,69,100,13.33
Rocha,-34.4833,-54.3333,63.37,54,6,8.32
Niksar,40.5917,36.9517,57.96,91,96,3.38
Port Hawkesbury,45.6169,-61.3485,58.33,93,90,11.01
Yuncheng,35.0231,110.9928,47.34,66,16,3.04
Ostrovnoy,68.0531,39.5131,37.65,89,100,3.42
Porto-Novo,6.4965,2.6036,79.93,82,47,7.14
Nanortalik,60.1432,-45.2371,36.14,86,93,5.55
Departamento de Maldonado,-34.6667,-54.9167,63.79,49,7,5.79
Teluk Nibung,3.001,99.8164,76.53,90,100,8.41
Bocas del Toro,9.3333,-82.25,83.07,70,70,7.34
Umluj,25.0213,37.2685,84.45,55,0,8.1
Deputatsky,69.3,139.9,-14.03,99,44,3.13
Basco,20.4487,121.9702,80.28,76,100,30.58
Catabola,-12.15,17.2833,70.18,56,0,7.25
Kamaishi,39.2667,141.8833,43.2,69,6,5.44
Ballina,-28.8667,153.5667,55.78,70,100,4.18
Cururupu,-1.8283,-44.8683,85.86,60,35,7.2
Orotukan,62.2667,151.7,-0.22,99,100,4.05
‘Āhuimanu,21.4447,-157.8378,78.62,65,75,14.97
Pyinmana,19.7333,96.2167,73.92,97,99,1.05
Pedernales,18.0384,-71.744,83.86,73,89,4.09
Ligayan,4.6533,119.4706,83.23,76,21,6.2
Santa Isabel Rio Negro,-0.4139,-65.0192,84.69,66,100,2.24
Halifax,44.6453,-63.5724,63.95,91,100,5.99
Kaseda-shirakame,31.4167,130.3167,62.67,63,100,7.07
Sisimiut,66.9395,-53.6735,30.16,45,4,13.51
Banda Aceh,5.5577,95.3222,79.97,70,100,2.84
Äänekoski,62.6946,25.818,35.85,100,100,12.37
Chu,43.5983,73.7614,49.44,45,0,3.31
Anadyr,64.75,177.4833,26.01,68,100,8.01
Gladstone,-23.85,151.25,73.33,78,40,5.75
Badin,24.656,68.8384,80.92,22,0,10.18
Punta Alta,-38.8759,-62.0736,63.79,42,1,12.46
Senanga,-16.1167,23.2667,83.26,25,63,4.61
Russell,32.3502,-85.1999,69.58,35,1,10.36
Kerema,-7.9631,145.7785,78.55,84,100,3.09
Mandalgovi,45.7625,106.2708,28.6,53,6,12.5
Doka,13.5167,35.7667,79.41,36,5,3.24
Yaan,7.3833,8.5667,76.01,88,53,5.23
